index,concept_id,concept_name,decision,top_score,selected_video_title,selected_video_url,selected_evidence_timestamp,clip_start_sec,clip_duration_sec,clip_ok,clip_file,clip_used_url
1,concept_ec49af6e1bc2,MPP,matched,0.4863,MPP - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/5f586070-f456-4e82-84b3-28887261f431_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d7634164398a87e3072eee395c8722d833059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f9bb0a5ea14ff29775bd482caa79ccf8b,00:00:01 - 00:01:16,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\001_concept_ec49af6e1bc2.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/5f586070-f456-4e82-84b3-28887261f431_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d7634164398a87e3072eee395c8722d833059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f9bb0a5ea14ff29775bd482caa79ccf8b
2,concept_3620e41f2015,Hadoop,matched,0.4593,Hadoop - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:18,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\002_concept_3620e41f2015.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de
3,concept_4a1dce1619f3,RDD,matched,0.4566,RDD - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:18,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\003_concept_4a1dce1619f3.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de
4,concept_85f5955f4b27,Spark,matched,0.4454,Spark - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:18,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\004_concept_85f5955f4b27.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de
5,concept_3398d4842a57,统一数据访问接口,matched,0.4368,统一数据访问接口 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/012519e0-2390-4bbe-8c80-ea361f37f87d_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632db18790e95776e8d3af74a70ab74808d53059f726dc7bb86b92adbc3d5b34b132e02474996282dac80e850c492f046d119bb0a5ea14ff29775bd482caa79ccf8b,00:00:15 - 00:01:18,15.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\005_concept_3398d4842a57.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/012519e0-2390-4bbe-8c80-ea361f37f87d_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632db18790e95776e8d3af74a70ab74808d53059f726dc7bb86b92adbc3d5b34b132e02474996282dac80e850c492f046d119bb0a5ea14ff29775bd482caa79ccf8b
6,concept_3749c8439c7a,Storm,matched,0.4336,Storm - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:18,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\006_concept_3749c8439c7a.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/75b262cd-4cbb-4310-ab33-e9ebb1cbcbff_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632dd7d47ea2e251df519ed84a1e03a334ee3059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fa9f9f7a47c7d084cef6fcf98b39bf4de
7,concept_51cc7363b2a7,模型层,matched,0.4254,模型层 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/92fde05e-dd60-44fd-9325-b33620d1bda6_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d48d76d5dfcdb8c5610e05d314f402a943059f726dc7bb86b92adbc3d5b34b132d5d02463ab18777c21155307c7c2fb20a9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:25,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\007_concept_51cc7363b2a7.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/92fde05e-dd60-44fd-9325-b33620d1bda6_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d48d76d5dfcdb8c5610e05d314f402a943059f726dc7bb86b92adbc3d5b34b132d5d02463ab18777c21155307c7c2fb20a9f9f7a47c7d084cef6fcf98b39bf4de
8,concept_c1dcf43460f0,结构化数据,matched,0.4232,结构化数据 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/fe1a0e0e-1083-4695-b29f-36e69cacbf45_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d45574db65012bec393a19dc1b02aee0f3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc859bb0a5ea14ff29775bd482caa79ccf8b,00:00:01 - 00:01:22,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\008_concept_c1dcf43460f0.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/fe1a0e0e-1083-4695-b29f-36e69cacbf45_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d45574db65012bec393a19dc1b02aee0f3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc859bb0a5ea14ff29775bd482caa79ccf8b
9,concept_0c1fe9fcc5df,社交网络分析,matched,0.4231,社交网络分析 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:32,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\009_concept_0c1fe9fcc5df.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de
10,concept_de064aec70ef,大数据,matched,0.4191,大数据 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:00:01 - 00:01:19,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\010_concept_de064aec70ef.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
11,concept_99edd8c8e615,Worker,matched,0.4189,Worker - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/14bc3375-3a23-4ed6-aa16-6513677ef189_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632daf2baf0e01ca35bb12e5ae9cb5c65a603059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fb108680c195ae7aedbefcbd824e55924,00:00:01 - 00:01:17,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\011_concept_99edd8c8e615.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/14bc3375-3a23-4ed6-aa16-6513677ef189_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632daf2baf0e01ca35bb12e5ae9cb5c65a603059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47fb108680c195ae7aedbefcbd824e55924
12,concept_672c1db9d8e8,特征,matched,0.4148,特征 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:01:19 - 00:01:59,79.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\012_concept_672c1db9d8e8.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
13,concept_1d29566985f5,半结构化数据,matched,0.413,半结构化数据 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:00:01 - 00:01:19,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\013_concept_1d29566985f5.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
14,concept_d2f6a7040ac7,数据量,matched,0.4124,数据量 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:01:19 - 00:01:59,79.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_matched\clips\014_concept_d2f6a7040ac7.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
