index,concept_id,concept_name,decision,top_score,selected_video_title,selected_video_url,selected_evidence_timestamp,clip_start_sec,clip_duration_sec,clip_ok,clip_file,clip_used_url
1,concept_7a67d5b7384a,NetworkX,needs_review,0.1166,NetworkX - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:32,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\001_concept_7a67d5b7384a.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de
2,concept_ac200d4c30c8,Reingold,needs_review,0.1138,Reingold - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:32,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\002_concept_ac200d4c30c8.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de
3,concept_e58371cb291e,搜索引擎,needs_review,0.1119,搜索引擎 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f42f1679-3fd6-4b45-bfe8-c05cf5125f36_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d0f94367baef8cbd149fa9ff7f5123ac83059f726dc7bb86b92adbc3d5b34b132e8fb1d2ca8b7fb72fe528b9d250c5487b108680c195ae7aedbefcbd824e55924,00:00:01 - 00:01:13,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\003_concept_e58371cb291e.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f42f1679-3fd6-4b45-bfe8-c05cf5125f36_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d0f94367baef8cbd149fa9ff7f5123ac83059f726dc7bb86b92adbc3d5b34b132e8fb1d2ca8b7fb72fe528b9d250c5487b108680c195ae7aedbefcbd824e55924
4,concept_a13a8c329248,近邻算法,needs_review,0.1097,近邻算法 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71,00:01:19 - 00:01:59,79.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\004_concept_a13a8c329248.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/01496e07-29da-4d1b-b5bd-cc574cb89fc9_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d8b8bbb3f04c11a335320877459af798a3059f726dc7bb86b92adbc3d5b34b132bc3c599e763a957161a864807d3127ad623591d5e74d0640a136e4a4f0e4eb71
5,concept_05109d351ff5,DAL,needs_review,0.108,DAL - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/012519e0-2390-4bbe-8c80-ea361f37f87d_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632db18790e95776e8d3af74a70ab74808d53059f726dc7bb86b92adbc3d5b34b132e02474996282dac80e850c492f046d119bb0a5ea14ff29775bd482caa79ccf8b,00:00:15 - 00:01:18,15.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\005_concept_05109d351ff5.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/012519e0-2390-4bbe-8c80-ea361f37f87d_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632db18790e95776e8d3af74a70ab74808d53059f726dc7bb86b92adbc3d5b34b132e02474996282dac80e850c492f046d119bb0a5ea14ff29775bd482caa79ccf8b
6,concept_b5c7d8b545ea,Driver,needs_review,0.1054,Driver - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f34b0da5-e409-4169-8422-c4f1baaed511_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d9e3697ccf511545583a435c2602e65e73059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f4cca709eeec35724f15d3e6a182e04cb,00:00:01 - 00:01:22,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\006_concept_b5c7d8b545ea.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f34b0da5-e409-4169-8422-c4f1baaed511_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d9e3697ccf511545583a435c2602e65e73059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f4cca709eeec35724f15d3e6a182e04cb
7,concept_33ba5412e82d,DAO,needs_review,0.1052,DAO - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/012519e0-2390-4bbe-8c80-ea361f37f87d_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632db18790e95776e8d3af74a70ab74808d53059f726dc7bb86b92adbc3d5b34b132e02474996282dac80e850c492f046d119bb0a5ea14ff29775bd482caa79ccf8b,00:00:15 - 00:01:18,15.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\007_concept_33ba5412e82d.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/012519e0-2390-4bbe-8c80-ea361f37f87d_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632db18790e95776e8d3af74a70ab74808d53059f726dc7bb86b92adbc3d5b34b132e02474996282dac80e850c492f046d119bb0a5ea14ff29775bd482caa79ccf8b
8,concept_c1f6604b7486,Executor,needs_review,0.1019,Executor - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f34b0da5-e409-4169-8422-c4f1baaed511_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d9e3697ccf511545583a435c2602e65e73059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f4cca709eeec35724f15d3e6a182e04cb,00:00:01 - 00:01:22,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\008_concept_c1f6604b7486.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/27/66/f34b0da5-e409-4169-8422-c4f1baaed511_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d9e3697ccf511545583a435c2602e65e73059f726dc7bb86b92adbc3d5b34b132259dae63bbd9bb8a42c8062891dfe47f4cca709eeec35724f15d3e6a182e04cb
9,concept_8a98091306b7,矩阵分解,needs_review,0.0959,矩阵分解 - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/56026deb-9f5b-47e6-95f3-3ba689fa5a0a_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d6c961fe277ce0ffe131927fc069f9c2a3059f726dc7bb86b92adbc3d5b34b132ed2707623bc40acbc08ad9523bc9f378a9f9f7a47c7d084cef6fcf98b39bf4de,00:01:19 - 00:02:00,79.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\009_concept_8a98091306b7.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/56026deb-9f5b-47e6-95f3-3ba689fa5a0a_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d6c961fe277ce0ffe131927fc069f9c2a3059f726dc7bb86b92adbc3d5b34b132ed2707623bc40acbc08ad9523bc9f378a9f9f7a47c7d084cef6fcf98b39bf4de
10,concept_5753a498f025,John,needs_review,0.0948,John - 课程视频,http://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de,00:00:01 - 00:01:32,1.0,12.0,True,KnowledgeGraph\data\output\video_review_pack_needs_review\clips\010_concept_5753a498f025.wav,https://mooc2vod.stu.126.net/nos/hls/2025/05/31/66/d58ebd42-54e8-4f7d-8291-07405e083ffb_7.m3u8?ak=7909bff134372bffca53cdc2c17adc27a4c38c6336120510aea1ae1790819de84d8cc86c8b2855ab14ae8dc0e8ff632d5d91f98be66499ae6886e228a71709fc3059f726dc7bb86b92adbc3d5b34b132ef0e98ac908802a3e5b47a6fe142cc85a9f9f7a47c7d084cef6fcf98b39bf4de
